"","F-Value","Pr(>F)","Not-exposed_Radiotherapy-Exposed_Radiotherapy","diff Not-exposed_Radiotherapy-Exposed_Radiotherapy","NETcolors"
"C14orf4|64207",0.840514181040282,0.359768469486157,0.359768469472365,-0.0576024720575354,"grey"
"C14orf49|161176",0.268263466028551,0.604767912825797,0.604767912817696,0.0903376756419609,"yellow"
"C14orf50|145376",0.00108616676896658,0.973724351191196,0.973724351190662,0.00676785645236988,"grey"
"C14orf64|388011",0.291516725647374,0.589532997361758,0.589532997353296,-0.132017599909147,"brown"
"C14orf68|283600",0.0992088404611749,0.752937182461909,0.752937182456734,-0.0966135480934416,"grey"
"C14orf72|145200",0.339696958690769,0.560316237238544,0.560316237229159,-0.169402542943282,"red"
"C14orf73|91828",0.107271434532243,0.743433104333047,0.743433104327866,-0.0687999547308289,"red"
"C14orf79|122616",0.609428148540139,0.435436771493152,0.435436771481207,-0.0550367393575293,"blue"
"C14orf80|283643",7.3654369770897,0.00691877899075471,0.00691877896467341,-0.242394819418725,"blue"
"C14orf93|60686",0.00376085417166576,0.951128501953746,0.951128501952759,-0.00334597618578147,"grey"
"C15orf17|57184",3.46759212687805,0.0632706394588681,0.0632706394357123,0.0826491029181398,"blue"
"C15orf21|283651",11.5455422813224,0.000742980945975807,0.000742980919447911,0.820804784587271,"grey"
"C15orf23|90417",0.00189309110109134,0.965315645175151,0.965315645174442,0.00338867080468574,"magenta"
